#{"t_start": 1636646239.8137326, "env_id": "IntelligentPantry-v1"}
r,l,t
-6.285489,5,5.168972
-3.572631,5,5.378897
-7.230667,5,5.573663
-6.315939,5,5.751032
-5.474388,5,5.926419
-8.189382,5,6.097144
-8.770881,5,6.269441
-6.424763,5,6.443336
-8.160018,5,6.615112
-8.324678,5,6.78855
-8.563941,5,6.965439
-7.336086,5,7.137923
-8.370784,5,7.309738
-7.483106,5,7.48301
-4.589825,5,7.656925
-7.374711,5,7.828859
-6.306861,5,8.002952
-5.526217,5,8.175248
-4.875925,5,8.347084
-5.155489,5,8.519581
-3.87891,5,8.69209
-8.629881,5,8.863663
-6.025321,5,9.035619
-6.727384,5,9.218381
-7.708412,5,9.396091
-6.920859,5,9.570623
-5.646278,5,9.745072
-8.35281,5,9.922449
-7.134867,5,10.101254
-6.108232,5,10.371233
-7.797543,5,10.54722
-7.878557,5,10.726825
-7.844838,5,10.90343
-8.846103,5,11.079044
-4.92918,5,11.249199
-6.855135,5,11.423954
-5.575931,5,11.595028
-6.803431,5,11.765318
-7.492726,5,11.938663
-4.493296,5,12.110305
-6.903492,5,12.280276
-5.214875,5,12.45252
-5.610247,5,12.623071
-7.391378,5,12.792677
-6.6806,5,12.964107
-6.875605,5,13.130357
-6.933337,5,13.30111
-5.464796,5,13.470238
-5.833803,5,13.642165
-7.711335,5,13.80928
-5.862929,5,13.981325
-6.863278,5,14.152285
-5.520196,5,14.322382
-7.638326,5,14.493724
-7.927985,5,14.665298
-6.026974,5,14.836638
-5.769149,5,15.008217
-6.69398,5,15.17516
-5.878491,5,15.346755
-8.20334,5,15.514817
-6.445845,5,15.687552
-7.145437,5,15.856125
-4.66268,5,16.027707
-7.124433,5,16.193551
-5.120282,5,16.364636
-6.905019,5,16.531675
-6.510303,5,16.706488
-6.138643,5,16.88135
-5.751067,5,17.047731
-5.377586,5,17.219884
-6.044144,5,17.392532
-6.542137,5,17.563822
-7.607691,5,17.736116
-7.010559,5,17.907081
-5.622957,5,18.078207
-5.499678,5,18.251281
-5.21254,5,18.43955
-4.843113,5,18.70057
-5.792054,5,18.885839
-6.535618,5,19.05915
-5.129863,5,19.231297
-4.914906,5,19.404672
-6.759651,5,19.581355
-6.746111,5,19.778897
-4.230669,5,19.966794
-5.569903,5,20.140768
-6.071824,5,20.311097
-3.934894,5,20.510112
-7.585716,5,20.780481
-6.019196,5,20.958023
-4.346203,5,21.134935
-6.186508,5,21.312546
-6.499881,5,21.488428
-6.810543,5,21.660304
-6.405203,5,21.83346
-6.002086,5,22.000875
-3.875126,5,22.172364
-6.398556,5,22.345237
-5.337123,5,22.515158
-5.444637,5,22.688658
-3.332105,5,22.861012
-8.633187,5,23.028907
