#{"t_start": 1636649514.624972, "env_id": "Reacher-v2"}
r,l,t
-4.557788,5,4.421061
-4.990875,5,4.426292
-5.010083,5,4.431712
-5.600319,5,4.43678
-4.34531,5,4.441726
-6.602384,5,4.446889
-8.29079,5,4.451852
-7.238023,5,4.456696
-5.973376,5,4.461663
-6.010726,5,4.466532
-6.947734,5,4.471385
-8.303494,5,4.476238
-6.591528,5,4.481366
-6.494167,5,4.486206
-6.555828,5,4.491032
-6.961469,5,4.495954
-6.601892,5,4.500812
-6.394894,5,4.50561
-5.949978,5,4.510334
-7.335295,5,4.515509
-5.964649,5,4.520317
-7.073225,5,4.525034
-6.108417,5,4.530065
-8.295081,5,4.534932
-4.378348,5,4.53968
-5.792411,5,4.544569
-4.534466,5,4.549474
-5.608966,5,4.555228
-4.575538,5,4.560379
-6.173669,5,4.565639
-6.052488,5,4.571771
-7.372373,5,4.577114
-8.187025,5,4.58237
-6.467601,5,4.587389
-6.352231,5,4.592391
-7.992841,5,4.597615
-6.773378,5,4.602569
-7.270042,5,4.607385
-7.798943,5,4.612364
-5.620968,5,4.617211
-7.926684,5,4.622043
-5.233752,5,4.626882
-3.686316,5,4.63191
-8.108132,5,4.636774
-8.512148,5,4.641636
-8.202744,5,4.646578
-4.93051,5,4.651447
-5.859093,5,4.656257
-4.168647,5,4.66108
-6.635747,5,4.665986
-6.632413,5,4.670896
-6.56266,5,4.675794
-7.237013,5,4.680881
-7.939443,5,4.685792
-5.901519,5,4.690603
-5.43889,5,4.695512
-5.666659,5,4.700418
-6.044242,5,4.70525
-4.840205,5,4.710175
-6.143521,5,4.715471
-6.599903,5,4.720345
-5.234577,5,4.725233
-4.743403,5,4.730301
-4.915664,5,4.735212
-5.48183,5,4.740047
-6.152063,5,4.744921
-6.571611,5,4.74984
-8.045983,5,4.832895
-4.614509,5,4.841354
-9.222448,5,4.848981
-6.062643,5,4.855907
-3.623616,5,4.862129
-3.755266,5,4.867798
-6.677954,5,4.873127
-7.285515,5,4.878555
-4.992544,5,4.883923
-4.314556,5,4.889256
-9.440429,5,4.894498
-7.359041,5,4.899741
-4.317745,5,4.904895
-6.627483,5,4.91005
-6.207136,5,4.915672
-6.29467,5,4.920882
-6.542662,5,4.926066
-6.49791,5,4.931545
-7.130703,5,4.936767
-7.002525,5,4.941962
-6.186988,5,4.94719
-6.297576,5,4.952979
-4.588028,5,4.958261
-6.546636,5,4.963593
-6.93957,5,4.969198
-7.012763,5,4.974464
-7.33744,5,4.97982
-7.157514,5,4.985674
-5.596395,5,4.990939
-5.460835,5,4.996168
-5.560924,5,5.001254
-6.3074,5,5.006255
-6.902142,5,5.011484
-5.29231,5,5.016573
-6.693607,5,5.02148
-5.287116,5,5.026411
-6.583046,5,5.032151
-5.093649,5,5.037202
-8.035581,5,5.042219
-6.689307,5,5.047364
-6.754017,5,5.052391
-5.745792,5,5.057316
-6.747288,5,5.062323
-4.85397,5,5.067256
-7.832358,5,5.072247
-7.383786,5,5.077194
-2.475089,5,5.082406
-6.655528,5,5.0873
-6.454814,5,5.092215
-6.622612,5,5.097285
-5.499014,5,5.102214
-5.059679,5,5.107104
-5.386118,5,5.111998
-5.053837,5,5.116946
-6.467938,5,5.121896
-5.803781,5,5.126837
-6.707257,5,5.13234
-4.21283,5,5.137262
-5.839644,5,5.1422
-5.521367,5,5.147259
-4.478701,5,5.152795
-8.172521,5,5.158136
-7.262106,5,5.163459
-5.637006,5,5.168948
-6.960706,5,5.174242
-3.367915,5,5.179574
-4.136736,5,5.184749
-6.604399,5,5.189822
-7.697562,5,5.194868
-6.158756,5,5.199948
-5.529139,5,5.204978
-5.11449,5,5.209983
-5.739587,5,5.2154
-4.292036,5,5.220476
-4.786955,5,5.225528
-4.876264,5,5.230887
-5.996839,5,5.235996
-4.676771,5,5.241039
-3.847807,5,5.246283
-8.450498,5,5.251266
-4.852937,5,5.256298
-6.160442,5,5.261229
-5.762777,5,5.266305
-4.030696,5,5.271238
-6.3652,5,5.276318
-6.5316,5,5.281488
-5.147419,5,5.286483
-7.316724,5,5.291426
-5.886576,5,5.29645
-7.853501,5,5.301455
-5.826894,5,5.30676
-5.582075,5,5.311787
-9.589492,5,5.316813
-4.956064,5,5.321769
-6.066515,5,5.326623
-7.065196,5,5.332252
-5.729397,5,5.337404
-8.05034,5,5.342464
-4.434227,5,5.347734
-8.399908,5,5.35349
-5.548119,5,5.358878
-6.122098,5,5.364395
-7.106867,5,5.370233
-9.346091,5,5.375636
-5.659265,5,5.381216
-4.40819,5,5.386523
-6.899745,5,5.391758
-7.868487,5,5.397076
-7.150056,5,5.402262
-8.23978,5,5.407369
-5.091405,5,5.412624
-5.018188,5,5.417768
-7.233066,5,5.422872
-5.999691,5,5.428117
-6.529744,5,5.433299
-6.717734,5,5.438434
-4.272929,5,5.44359
-4.635365,5,5.449097
-8.282201,5,5.454251
-5.463541,5,5.459402
-5.736782,5,5.464802
-8.357231,5,5.469922
-7.314447,5,5.475032
-4.285112,5,5.480308
-5.730275,5,5.485442
-6.802962,5,5.490492
-4.482277,5,5.495634
-5.913563,5,5.500734
-4.237434,5,5.50576
-7.04034,5,5.510694
-5.399261,5,5.515966
-3.86826,5,5.521004
-7.855114,5,5.526067
-3.732243,5,5.545565
-6.909607,5,5.550563
-7.582126,5,5.556207
-5.720826,5,5.561525
-5.680194,5,5.566902
-5.436794,5,5.572641
-7.373207,5,5.577805
-6.962307,5,5.58299
-4.896218,5,5.588715
-6.919637,5,5.593767
-4.466849,5,5.599148
-4.141981,5,5.604165
-4.910422,5,5.609146
-3.933105,5,5.614376
-7.564086,5,5.619241
-7.124993,5,5.6241
-8.635667,5,5.629062
-5.932046,5,5.633942
-7.617717,5,5.638751
-6.887069,5,5.643579
-6.558225,5,5.648588
-5.134934,5,5.653322
-4.824559,5,5.658
-6.020341,5,5.662836
-7.240006,5,5.667591
