#{"t_start": 1636648672.4743893, "env_id": "Reacher-v2"}
r,l,t
-4.790364,5,2.312988
-5.076588,5,2.37489
-7.718461,5,2.382347
-8.054135,5,2.389582
-5.48667,5,2.397329
-5.562072,5,2.404582
-8.513403,5,2.411859
-5.395717,5,2.419111
-6.646195,5,2.426093
-2.847516,5,2.433026
-7.250374,5,2.439945
-4.52587,5,2.446812
-9.507776,5,2.453572
-5.901697,5,2.460342
-8.63244,5,2.467537
-6.104745,5,2.474829
-6.806574,5,2.482154
-6.552551,5,2.489274
-7.34163,5,2.49623
-4.072262,5,2.503137
-6.839922,5,2.510033
-6.511635,5,2.516816
-6.35972,5,2.523604
-5.61203,5,2.530348
-4.746835,5,2.537135
-6.987884,5,2.544025
