#{"t_start": 1636125152.5514438, "env_id": "Reacher-v2"}
r,l,t
-4.561338,5,2.409049
-5.958808,5,2.483082
-4.265725,5,2.491651
-7.71531,5,2.50048
-7.721467,5,2.510442
-4.922336,5,2.518972
-6.123937,5,2.528137
-4.523887,5,2.536612
-7.136347,5,2.54499
-8.225253,5,2.552932
-8.183616,5,2.56071
-6.841921,5,2.568422
-7.451915,5,2.577507
-6.746153,5,2.585604
-5.772268,5,2.594135
-5.006784,5,2.602177
-4.023218,5,2.609933
-5.930036,5,2.617514
-7.634803,5,2.625107
-6.114823,5,2.632582
-7.699797,5,2.640093
-6.075233,5,2.647821
-4.594579,5,2.6558
-7.782564,5,2.663388
-6.17976,5,2.67083
-6.493473,5,2.678257
