#{"t_start": 1636125354.7895973, "env_id": "Reacher-v2"}
r,l,t
-5.830405,5,2.355832
-8.187537,5,2.429016
-5.75575,5,2.437782
-7.960614,5,2.446316
-8.157158,5,2.455819
-4.620609,5,2.464356
-5.770932,5,2.472593
-5.19266,5,2.480678
-5.887756,5,2.489619
-7.113287,5,2.49799
-6.651391,5,2.506561
-7.085771,5,2.514753
-4.306064,5,2.522966
-6.561347,5,2.530727
-2.266917,5,2.538454
-6.636279,5,2.546178
-5.460263,5,2.554275
-8.918534,5,2.562052
-7.205936,5,2.570617
-6.410174,5,2.578799
-6.221171,5,2.586838
-8.007963,5,2.594634
-7.385492,5,2.602394
-8.931764,5,2.609973
-7.066921,5,2.617579
-8.045981,5,2.625294
