#{"t_start": 1636140949.8078864, "env_id": "Reacher-v2"}
r,l,t
-7.487615,5,8.773908
-7.024578,5,8.853166
-7.922901,5,8.862039
-5.933539,5,8.87177
-9.004273,5,8.880277
-6.68793,5,8.888532
-6.531578,5,8.89681
-7.605409,5,8.904898
-6.172725,5,8.91408
-4.622626,5,8.922772
-3.768935,5,8.931254
-6.847132,5,8.939446
-6.170943,5,8.947442
-5.375321,5,8.955306
-8.967316,5,8.963041
-3.235503,5,8.970658
-8.803943,5,8.97829
-4.492354,5,8.986213
-4.496914,5,8.994919
-7.75816,5,9.002972
-7.258115,5,9.010805
-6.094944,5,9.018615
-6.659586,5,9.026428
-7.939767,5,9.034167
-6.970849,5,9.041799
-5.87872,5,9.049427
