#{"t_start": 1636647031.6082025, "env_id": "Reacher-v2"}
r,l,t
-7.555303,5,3.319577
-7.547248,5,3.385852
-5.821072,5,3.393293
-6.161794,5,3.402014
-5.870912,5,3.409744
-5.158523,5,3.417178
-8.125921,5,3.42453
-7.266016,5,3.431877
-5.461323,5,3.439174
-8.939499,5,3.44653
-6.279324,5,3.453778
-6.275649,5,3.460984
-6.550522,5,3.468112
-4.780289,5,3.475752
-6.359461,5,3.483172
-8.323652,5,3.490733
-7.929378,5,3.498051
-6.163001,5,3.505318
-5.504245,5,3.512629
-5.088527,5,3.519687
-5.454327,5,3.526773
-4.150156,5,3.533858
-5.427907,5,3.541347
-7.06078,5,3.548747
-5.245781,5,3.556072
-6.000427,5,3.563333
