#{"t_start": 1636648415.206755, "env_id": "Reacher-v2"}
r,l,t
-4.787518,5,3.886431
-8.707141,5,3.95798
-4.304113,5,3.966507
-6.166137,5,3.974999
-9.452533,5,3.983098
-5.667535,5,3.991277
-6.112462,5,3.999312
-7.551024,5,4.007168
-6.685761,5,4.014994
-7.237738,5,4.022513
-8.034366,5,4.030161
-7.001277,5,4.037648
-7.135887,5,4.045221
-4.682731,5,4.052534
-7.168272,5,4.059931
-7.659738,5,4.067234
-5.828596,5,4.074679
-5.221226,5,4.082063
-8.116422,5,4.089418
-7.700874,5,4.096816
-4.812555,5,4.104129
-6.478687,5,4.11156
-7.521499,5,4.118913
-8.415879,5,4.126328
-5.007121,5,4.13365
-5.995143,5,4.141037
