#{"t_start": 1636649748.9256635, "env_id": "Reacher-v2"}
r,l,t
-5.822426,5,2.391137
-7.00405,5,2.463455
-6.94762,5,2.472088
-5.961713,5,2.48169
-4.291899,5,2.491176
-6.584263,5,2.49953
-5.634731,5,2.508811
-7.31652,5,2.517138
-5.201187,5,2.525817
-6.288567,5,2.533977
-6.048453,5,2.542411
-6.970982,5,2.55044
-7.267857,5,2.558419
-7.635392,5,2.566478
-6.411775,5,2.574519
-6.61942,5,2.582275
-10.886331,5,2.589966
-5.025268,5,2.597477
-3.966936,5,2.605164
-5.144831,5,2.612629
-6.818673,5,2.620303
-6.002228,5,2.627885
-4.733227,5,2.635628
-6.198587,5,2.643122
-6.571843,5,2.650796
-6.7515,5,2.658394
